projects,slice,psnr-rec-#1,ssim-rec-#1,mse-rec-#1,psnr-rec-#2,ssim-rec-#2,mse-rec-#2
mcVFA-af8-simple-CGSENSE,19,24.533587097661197,0.589331010040442,1.129458382820303e-06,27.76479202992939,0.762307657915324,2.797490651573753e-06
mcVFA-af8-simple-CGSENSE,20,24.559959983368714,0.5917557283885763,1.122620460591861e-06,27.667482204957125,0.7611419162201285,2.860879931176896e-06
mcVFA-af8-simple-CGSENSE,21,24.535736457783127,0.5920049895272295,1.1288996120129013e-06,27.577954796515506,0.7616866504217983,2.9204675229266286e-06
mcVFA-af8-simple-CGSENSE,22,24.455226650463985,0.5892414695862628,1.1500222854010644e-06,27.481081338372203,0.7594732030150593,2.9863431336707436e-06
mcVFA-af8-simple-CGSENSE,23,24.43919473385671,0.5877438076904595,1.1542754236870678e-06,27.46458848897179,0.7564432897414565,2.997705678353668e-06
mcVFA-af8-simple-CGSENSE,24,24.392331533148184,0.5865868790197931,1.166798369922617e-06,27.491973137946935,0.7599010923524498,2.9788627671223367e-06
mcVFA-af8-simple-CGSENSE,25,24.439807749909107,0.59157520093015,1.1541125104486127e-06,27.32415598466322,0.7587631473205686,3.096223281318089e-06
mcVFA-af8-simple-CGSENSE,26,24.35252362219358,0.590296279395639,1.177542458208336e-06,27.26716623642354,0.7590207166661433,3.1371205295727123e-06
mcVFA-af8-simple-CGSENSE,27,24.419461807801945,0.5908552221431744,1.15953207568964e-06,27.2694357721571,0.7599183652164936,3.1354816201201174e-06
mcVFA-af8-simple-CGSENSE,28,24.423619561402916,0.5916912741787247,1.158422492153477e-06,27.340415382564146,0.7625809194537551,3.084652689722134e-06
mcVFA-af8-simple-CGSENSE,29,24.404146701624082,0.5900119798499622,1.1636282124527497e-06,27.376373481923043,0.7639286870667339,3.0592184430133784e-06
mcVFA-af8-simple-CGSENSE,30,24.496658481793617,0.5920870192779284,1.1391032330720918e-06,27.436267780778486,0.7676014225073456,3.0173180221026996e-06
mcVFA-af8-simple-CGSENSE,31,24.476367445209522,0.5912920583485206,1.1444377605585032e-06,27.363100095107818,0.7664260559954643,3.068582827836508e-06
mcVFA-af8-simple-CGSENSE,32,24.439667303779366,0.5908175410927888,1.1541499134182232e-06,27.292770412034617,0.7639110447508692,3.11867984237324e-06
mcVFA-af8-simple-CGSENSE,33,24.472933252533128,0.5909608626187751,1.1453430488472804e-06,27.33192361015018,0.7635960928791762,3.090690142926178e-06
mcVFA-af8-simple-CGSENSE,34,24.497425510066037,0.5908638270064923,1.1389020073693246e-06,27.379035551038978,0.763847472274363,3.0573439744330244e-06
