projects,slice,nrmse-rec-t1-all,nrmse-rec-t1-under 1000 msec
mcVFA-af12-simple-CGSENSE,44,0.16721249,0.07828113
mcVFA-af12-simple-CGSENSE,45,0.16528772,0.076759055
mcVFA-af12-simple-CGSENSE,46,0.16641988,0.07741005
mcVFA-af12-simple-CGSENSE,47,0.1747203,0.07828788
mcVFA-af12-simple-CGSENSE,48,0.17768964,0.079372965
mcVFA-af12-simple-CGSENSE,49,0.17298165,0.079219624
mcVFA-af12-simple-CGSENSE,50,0.16673663,0.079889774
mcVFA-af12-simple-CGSENSE,51,0.16526163,0.07829336
mcVFA-af12-simple-CGSENSE,52,0.15811253,0.07407021
mcVFA-af12-simple-CGSENSE,53,0.13832611,0.06725214
mcVFA-af12-simple-CGSENSE,54,0.13391124,0.065685645
mcVFA-af12-simple-CGSENSE,55,0.13924918,0.06487358
mcVFA-af12-simple-CGSENSE,56,0.12601762,0.06616512
mcVFA-af12-simple-CGSENSE,57,0.12678638,0.07156135
mcVFA-af12-simple-CGSENSE,58,0.13660598,0.073200695
mcVFA-af12-simple-CGSENSE,59,0.13747042,0.07273625
mcVFA-af12-simple-CGSENSE,60,0.15479986,0.07124538
mcVFA-af12-simple-CGSENSE,61,0.13662876,0.06944717
mcVFA-af12-simple-CGSENSE,62,0.13387686,0.06847975
mcVFA-af12-simple-CGSENSE,63,0.12863393,0.068563625
mcVFA-af12-simple-CGSENSE,64,0.13045049,0.06373071
mcVFA-af12-simple-CGSENSE,65,0.13127029,0.06827706
mcVFA-af12-simple-CGSENSE,66,0.2688379,0.06715763
mcVFA-af12-simple-CGSENSE,67,0.21420027,0.06804176
mcVFA-af12-simple-CGSENSE,68,0.14792594,0.06537365
mcVFA-af12-simple-CGSENSE,69,0.14944623,0.066639535
mcVFA-af12-simple-CGSENSE,70,0.14792402,0.07062102
mcVFA-af12-simple-CGSENSE,71,0.14535925,0.06754811
mcVFA-af12-simple-CGSENSE,72,0.14764011,0.06482624
mcVFA-af12-simple-CGSENSE,73,0.16594703,0.06508601
mcVFA-af12-simple-CGSENSE,74,0.14204603,0.0655368
mcVFA-af12-simple-CGSENSE,75,0.14768533,0.066651314
mcVFA-af12-simple-CGSENSE,76,0.15340689,0.06288641
mcVFA-af12-simple-CGSENSE,77,0.14664854,0.062466998
mcVFA-af12-simple-CGSENSE,78,0.14743567,0.066910304
mcVFA-af12-simple-CGSENSE,79,0.15179537,0.0692393
mcVFA-af12-simple-CGSENSE,80,0.15340634,0.0667117
mcVFA-af12-simple-CGSENSE,81,0.14569108,0.066776365
mcVFA-af12-simple-CGSENSE,82,0.14592646,0.06899768
mcVFA-af12-simple-CGSENSE,83,0.1530217,0.06832821
mcVFA-af12-simple-CGSENSE,84,0.14572068,0.06779592
mcVFA-af12-simple-CGSENSE,85,0.1416495,0.071224704
mcVFA-af12-simple-CGSENSE,86,0.14475137,0.0707904
mcVFA-af12-simple-CGSENSE,87,0.14376996,0.06899896
mcVFA-af12-simple-CGSENSE,88,0.14001699,0.066190384
mcVFA-af12-simple-CGSENSE,89,0.1368111,0.06550245
